======== 2026-09-14T13:22:26+08:00 P0 GPU start ========
loading Qwen2-VL-7B-Instruct 4-bit setting=native...
cuda free=31.22GB; 4-bit LLM + fp16 visual on GPU
`Qwen2VLRotaryEmbedding` can now be fully parameterized by passing the model config through the `config` argument. All other arguments will be removed in v4.46
Loading checkpoint shards:   0%|          | 0/5 [00:00<?, ?it/s]Loading checkpoint shards:  20%|██        | 1/5 [00:01<00:07,  1.98s/it]Loading checkpoint shards:  40%|████      | 2/5 [00:03<00:05,  1.95s/it]Loading checkpoint shards:  60%|██████    | 3/5 [00:05<00:03,  1.86s/it]Loading checkpoint shards:  80%|████████  | 4/5 [00:07<00:01,  1.83s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:07<00:00,  1.34s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:07<00:00,  1.58s/it]
visual=cuda:0 llm=cuda:0 cpu_llm=False map={'': 0}
{'id': 'h49:c07:e16:r0', 'progress': '1/192', 'batch': '1/192', 'mode': 'REFUSE', 's_mode': -76.23992919921875, 'L_content': None}
{'id': 'h68:c08:e16:r1', 'progress': '106/192', 'batch': '106/192', 'mode': 'ANSWER', 's_mode': 13.454046249389648, 'L_content': 3.066810369491577}
{'id': 'h68:c08:e16:r2', 'progress': '107/192', 'batch': '107/192', 'mode': 'ANSWER', 's_mode': -3.75290584564209, 'L_content': 3.113609552383423}
{'id': 'h68:c08:e16:r3', 'progress': '108/192', 'batch': '108/192', 'mode': 'ANSWER', 's_mode': 24.390424728393555, 'L_content': 3.164548635482788}
{'id': 'h68:c08:e16:r4', 'progress': '109/192', 'batch': '109/192', 'mode': 'REFUSE', 's_mode': 4.992642879486084, 'L_content': None}
{'id': 'h68:c08:e16:r5', 'progress': '110/192', 'batch': '110/192', 'mode': 'REFUSE', 's_mode': -17.35940170288086, 'L_content': None}
{'id': 'h68:c08:e16:r6', 'progress': '111/192', 'batch': '111/192', 'mode': 'ANSWER', 's_mode': 18.784080505371094, 'L_content': 3.144073009490967}
{'id': 'h68:c08:e16:r7', 'progress': '112/192', 'batch': '112/192', 'mode': 'ANSWER', 's_mode': 20.152812957763672, 'L_content': 3.2197251319885254}
{'id': 'h72:c07:e16:r0', 'progress': '113/192', 'batch': '113/192', 'mode': 'ANSWER', 's_mode': 6.866458892822266, 'L_content': 1.4706240892410278}
{'id': 'h72:c07:e16:r1', 'progress': '114/192', 'batch': '114/192', 'mode': 'DENY', 's_mode': 6.151007652282715, 'L_content': None}
{'id': 'h72:c07:e16:r2', 'progress': '115/192', 'batch': '115/192', 'mode': 'ANSWER', 's_mode': 12.882867813110352, 'L_content': 1.649400234222412}
{'id': 'h72:c07:e16:r3', 'progress': '116/192', 'batch': '116/192', 'mode': 'ANSWER', 's_mode': -9.80705451965332, 'L_content': 1.4995300769805908}
{'id': 'h72:c07:e16:r4', 'progress': '117/192', 'batch': '117/192', 'mode': 'ANSWER', 's_mode': 6.876247406005859, 'L_content': 1.5622780323028564}
{'id': 'h72:c07:e16:r5', 'progress': '118/192', 'batch': '118/192', 'mode': 'ANSWER', 's_mode': 3.567600965499878, 'L_content': 1.5384365320205688}
{'id': 'h72:c07:e16:r6', 'progress': '119/192', 'batch': '119/192', 'mode': 'DENY', 's_mode': 9.776813507080078, 'L_content': None}
{'id': 'h72:c07:e16:r7', 'progress': '120/192', 'batch': '120/192', 'mode': 'ANSWER', 's_mode': 11.646472930908203, 'L_content': 1.599259614944458}
{'id': 'h72:c08:e16:r0', 'progress': '121/192', 'batch': '121/192', 'mode': 'ANSWER', 's_mode': 0.2995688319206238, 'L_content': 1.4947562217712402}
{'id': 'h72:c08:e16:r1', 'progress': '122/192', 'batch': '122/192', 'mode': 'ANSWER', 's_mode': -7.905089855194092, 'L_content': 1.4618792533874512}
{'id': 'h72:c08:e16:r2', 'progress': '123/192', 'batch': '123/192', 'mode': 'ANSWER', 's_mode': 3.026353597640991, 'L_content': 1.518629550933838}
{'id': 'h72:c08:e16:r3', 'progress': '124/192', 'batch': '124/192', 'mode': 'ANSWER', 's_mode': 9.093786239624023, 'L_content': 1.6040382385253906}
{'id': 'h72:c08:e16:r4', 'progress': '125/192', 'batch': '125/192', 'mode': 'ANSWER', 's_mode': -4.100747108459473, 'L_content': 1.4474941492080688}
{'id': 'h72:c08:e16:r5', 'progress': '126/192', 'batch': '126/192', 'mode': 'REFUSE', 's_mode': -9.983424186706543, 'L_content': None}
{'id': 'h72:c08:e16:r6', 'progress': '127/192', 'batch': '127/192', 'mode': 'ANSWER', 's_mode': 4.929866313934326, 'L_content': 1.4821990728378296}
{'id': 'h72:c08:e16:r7', 'progress': '128/192', 'batch': '128/192', 'mode': 'DENY', 's_mode': 9.492752075195312, 'L_content': None}
{'id': 'h74:c07:e16:r0', 'progress': '129/192', 'batch': '129/192', 'mode': 'ANSWER', 's_mode': -1.6629078388214111, 'L_content': 2.510202169418335}
{'id': 'h74:c07:e16:r1', 'progress': '130/192', 'batch': '130/192', 'mode': 'DENY', 's_mode': -2.8515701293945312, 'L_content': None}
{'id': 'h74:c07:e16:r2', 'progress': '131/192', 'batch': '131/192', 'mode': 'DENY', 's_mode': 5.278824806213379, 'L_content': None}
{'id': 'h74:c07:e16:r3', 'progress': '132/192', 'batch': '132/192', 'mode': 'DENY', 's_mode': -11.90011215209961, 'L_content': None}
{'id': 'h74:c07:e16:r4', 'progress': '133/192', 'batch': '133/192', 'mode': 'ANSWER', 's_mode': 15.672808647155762, 'L_content': 2.558321237564087}
{'id': 'h74:c07:e16:r5', 'progress': '134/192', 'batch': '134/192', 'mode': 'DENY', 's_mode': 1.352745771408081, 'L_content': None}
{'id': 'h74:c07:e16:r6', 'progress': '135/192', 'batch': '135/192', 'mode': 'DENY', 's_mode': -10.986860275268555, 'L_content': None}
{'id': 'h74:c07:e16:r7', 'progress': '136/192', 'batch': '136/192', 'mode': 'DENY', 's_mode': 3.727574586868286, 'L_content': None}
{'id': 'h74:c08:e16:r0', 'progress': '137/192', 'batch': '137/192', 'mode': 'ANSWER', 's_mode': -1.1402428150177002, 'L_content': 2.558659791946411}
{'id': 'h74:c08:e16:r1', 'progress': '138/192', 'batch': '138/192', 'mode': 'DENY', 's_mode': -24.02546501159668, 'L_content': None}
{'id': 'h74:c08:e16:r2', 'progress': '139/192', 'batch': '139/192', 'mode': 'DENY', 's_mode': -12.689403533935547, 'L_content': None}
{'id': 'h74:c08:e16:r3', 'progress': '140/192', 'batch': '140/192', 'mode': 'ANSWER', 's_mode': -0.913157045841217, 'L_content': 2.481820583343506}
{'id': 'h74:c08:e16:r4', 'progress': '141/192', 'batch': '141/192', 'mode': 'DENY', 's_mode': -31.87187957763672, 'L_content': None}
{'id': 'h74:c08:e16:r5', 'progress': '142/192', 'batch': '142/192', 'mode': 'DENY', 's_mode': 8.324028015136719, 'L_content': None}
{'id': 'h74:c08:e16:r6', 'progress': '143/192', 'batch': '143/192', 'mode': 'DENY', 's_mode': -25.908248901367188, 'L_content': None}
{'id': 'h74:c08:e16:r7', 'progress': '144/192', 'batch': '144/192', 'mode': 'ANSWER', 's_mode': -1.5493965148925781, 'L_content': 2.505774974822998}
{'id': 'h76:c07:e16:r0', 'progress': '145/192', 'batch': '145/192', 'mode': 'REFUSE', 's_mode': -32.0225830078125, 'L_content': None}
{'id': 'h76:c07:e16:r1', 'progress': '146/192', 'batch': '146/192', 'mode': 'REFUSE', 's_mode': -15.8529052734375, 'L_content': None}
{'id': 'h76:c07:e16:r2', 'progress': '147/192', 'batch': '147/192', 'mode': 'REFUSE', 's_mode': -23.747968673706055, 'L_content': None}
{'id': 'h76:c07:e16:r3', 'progress': '148/192', 'batch': '148/192', 'mode': 'REFUSE', 's_mode': -25.881046295166016, 'L_content': None}
{'id': 'h76:c07:e16:r4', 'progress': '149/192', 'batch': '149/192', 'mode': 'REFUSE', 's_mode': -72.51245880126953, 'L_content': None}
{'id': 'h76:c07:e16:r5', 'progress': '150/192', 'batch': '150/192', 'mode': 'REFUSE', 's_mode': -64.1297607421875, 'L_content': None}
{'id': 'h76:c07:e16:r6', 'progress': '151/192', 'batch': '151/192', 'mode': 'REFUSE', 's_mode': -42.06959533691406, 'L_content': None}
{'id': 'h76:c07:e16:r7', 'progress': '152/192', 'batch': '152/192', 'mode': 'REFUSE', 's_mode': -28.47457504272461, 'L_content': None}
{'id': 'h76:c08:e16:r0', 'progress': '153/192', 'batch': '153/192', 'mode': 'REFUSE', 's_mode': -39.705257415771484, 'L_content': None}
{'id': 'h76:c08:e16:r1', 'progress': '154/192', 'batch': '154/192', 'mode': 'REFUSE', 's_mode': -23.767709732055664, 'L_content': None}
{'id': 'h76:c08:e16:r2', 'progress': '155/192', 'batch': '155/192', 'mode': 'REFUSE', 's_mode': -10.494577407836914, 'L_content': None}
{'id': 'h76:c08:e16:r3', 'progress': '156/192', 'batch': '156/192', 'mode': 'REFUSE', 's_mode': -20.814926147460938, 'L_content': None}
{'id': 'h76:c08:e16:r4', 'progress': '157/192', 'batch': '157/192', 'mode': 'REFUSE', 's_mode': -15.295755386352539, 'L_content': None}
{'id': 'h76:c08:e16:r5', 'progress': '158/192', 'batch': '158/192', 'mode': 'REFUSE', 's_mode': -8.883935928344727, 'L_content': None}
{'id': 'h76:c08:e16:r6', 'progress': '159/192', 'batch': '159/192', 'mode': 'REFUSE', 's_mode': 0.8674056529998779, 'L_content': None}
{'id': 'h76:c08:e16:r7', 'progress': '160/192', 'batch': '160/192', 'mode': 'REFUSE', 's_mode': 1.1464377641677856, 'L_content': None}
{'id': 'h80:c07:e16:r0', 'progress': '161/192', 'batch': '161/192', 'mode': 'ANSWER', 's_mode': 4.9264397621154785, 'L_content': 1.742075800895691}
{'id': 'h80:c07:e16:r1', 'progress': '162/192', 'batch': '162/192', 'mode': 'REFUSE', 's_mode': -27.168155670166016, 'L_content': None}
{'id': 'h80:c07:e16:r2', 'progress': '163/192', 'batch': '163/192', 'mode': 'REFUSE', 's_mode': -47.204734802246094, 'L_content': None}
{'id': 'h80:c07:e16:r3', 'progress': '164/192', 'batch': '164/192', 'mode': 'REFUSE', 's_mode': -2.7055275440216064, 'L_content': None}
{'id': 'h80:c07:e16:r4', 'progress': '165/192', 'batch': '165/192', 'mode': 'ANSWER', 's_mode': 10.919147491455078, 'L_content': 1.6329740285873413}
{'id': 'h80:c07:e16:r5', 'progress': '166/192', 'batch': '166/192', 'mode': 'REFUSE', 's_mode': 0.36323583126068115, 'L_content': None}
